Total,Delayed,Cancelled,Problematic,PathName
2002,372,12,384,BOI->LAX
1614,254,0,254,BOI->MSP
1332,124,6,130,BOI->OAK
942,148,4,152,BOI->ONT
1574,354,28,382,BOI->ORD
2054,260,22,282,BOI->PDX
1358,120,6,126,BOI->PHX
2,2,0,2,BOI->PIT
2058,264,8,272,BOI->RNO
950,210,4,214,BOI->SAN
2160,320,10,330,BOI->SEA
3508,908,68,976,BOI->SFO
6684,622,22,644,BOI->SLC
2,2,0,2,BOS->ACK
11964,2796,158,2954,BOS->ATL
736,142,4,146,BOS->AUS
1588,416,44,460,BOS->BGR
4,4,0,4,BOS->BNA
2,0,0,0,BOS->BTV
1458,348,42,390,BOS->BUF
9594,1892,294,2186,BOS->BWI
934,230,10,240,BOS->CAK
312,54,2,56,BOS->CHS
2724,502,44,546,BOS->CLE
7066,1468,114,1582,BOS->CLT
1832,484,26,510,BOS->CMH
3874,662,102,764,BOS->CVG
17798,2430,550,2980,BOS->DCA
4154,1134,90,1224,BOS->DEN
6072,1268,242,1510,BOS->DFW
4612,856,96,952,BOS->DTW
7766,2920,278,3198,BOS->EWR
4952,1400,72,1472,BOS->FLL
2,0,0,0,BOS->GGG
282,120,8,128,BOS->GSO
8368,1724,264,1988,BOS->IAD
3600,988,44,1032,BOS->IAH
1900,362,88,450,BOS->IND
1294,338,26,364,BOS->JAX
14744,4328,668,4996,BOS->JFK
2766,612,24,636,BOS->LAS
4468,1426,46,1472,BOS->LAX
24058,4616,1644,6260,BOS->LGA
1576,406,16,422,BOS->LGB
6948,1696,80,1776,BOS->MCO
688,124,6,130,BOS->MDW
400,70,12,82,BOS->MEM
4392,1228,56,1284,BOS->MIA
418,122,0,122,BOS->MKE
3270,550,24,574,BOS->MSP
508,104,16,120,BOS->MSY
90,22,0,22,BOS->MYR
1032,228,14,242,BOS->OAK
14170,3548,692,4240,BOS->ORD
486,144,12,156,BOS->ORF
3486,836,52,888,BOS->PBI
732,204,8,212,BOS->PDX
1430,276,10,286,BOS->PHF
12750,2794,762,3556,BOS->PHL
2138,576,16,592,BOS->PHX
1182,302,32,334,BOS->PIT
7554,1640,180,1820,BOS->RDU
1378,376,24,400,BOS->RIC
